product_id,product_name,brand,price,unit_price,quantity,ean,article_number,description,image,product_url
00402489,Ja! Natürlich Bananen,,"2,39 €",per 1 kg,"Ab 0,5 kg",00402489,Art. Nr.: 00-402489,Ja! Natürlich Bananen online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-402489-033261172-8PXUmX24.jpg,https://shop.billa.at/produkte/ja-natuerlich-bananen-00402489
00770444,Gösser Märzen,,"1,59 €",,"500 ml 1,59 €",00770444,Art. Nr.: 00-770444,Gösser Märzen online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-770444-1697677774-Ar3d6yO_.jpg,https://shop.billa.at/produkte/goesser-maerzen-00770444
00258074,Clever Bananen,,"1,59 €",per 1 kg,"Ab 0,5 kg",00258074,Art. Nr.: 00-258074,Clever Bananen online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-258074-0127084953-YXEXBqXK.jpg,https://shop.billa.at/produkte/clever-bananen-00258074
00408966,Da komm ich her! Gurke,,"1,32 €","1 kg 5,53 €","~0,2g",00408966,Art. Nr.: 00-408966,Da komm ich her! Gurke online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-408966-0733584764-13TkCeqW.jpg,https://shop.billa.at/produkte/da-komm-ich-her-gurke-00408966
0089414,Trauben weiß kernlos,,"2,29 €","1 kg 4,58 €",500 g Packung,12345678,Art. Nr.: 00-89414,Trauben weiß kernlos online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89414-1464299862-5aEkSi8x.jpg,https://shop.billa.at/produkte/trauben-weiss-kernlos-0089414
00482550,BILLA Freilandeier M,,"3,32 €",,11g,00482550,Art. Nr.: 00-482550,BILLA Freilandeier M online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-482550-1704896387-w1ReamNq.jpg,https://shop.billa.at/produkte/billa-freilandeier-m-00482550
00769493,Vöslauer Prickelnd,,"0,99 €","1 Liter 0,66 €","1 Liter 0,66 €",00769493,Art. Nr.: 00-769493,Vöslauer Prickelnd online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769493-1738046199-BNWlj4De.jpg,https://shop.billa.at/produkte/voeslauer-prickelnd-00769493
00820829,Ja! Natürlich Bio Eier M,,"4,75 €",,,00820829,Art. Nr.: 00-820829,Ja! Natürlich Bio Eier M online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-820829-0211754880-W396IEZC.jpg,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829
00827690,Ja! Natürlich Butter,,"2,99 €","1 kg 11,96 €",250 g Packung,00827690,Art. Nr.: 00-827690,Ja! Natürlich Butter online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-827690-0884390831--oHO_70J.jpg,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690
00425413,Clever Österreichische Teebutter,,"1,51 €","1 kg 6,04 €",250 g Packung,00425413,Art. Nr.: 00-425413,Clever Österreichische Teebutter online kaufen im BILLA Online Shop! ✔ große Produktauswahl >> bestellen Sie jetzt!,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-425413-0156240836-MlnZN_ph.jpg,https://shop.billa.at/produkte/clever-oesterreichische-teebutter-00425413
