url,title,property_type,price,location,bedrooms,bathrooms,updated
https://www.qatarliving.com/en/properties/rent/residential/apartment/super_spacious_brand_new_2bhk_fully_furnished_old_airport_area/194448,SUPER SPACIOUS BRAND NEW 2BHK | FULLY FURNISHED | OLD AIRPORT AREA,Apartment,"5,000","Old Airport, Doha, Qatar",2 ,2 ,Updated 1 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/brand_new_semi_furnished_apartments_in_prime_location/103520,1 MONTH FREE | BRAND NEW SEMI FURNISHED APARTMENTS IN PRIME LOCATION,Apartment,"4,700","Madinat Khalifa South, Doha, Qatar",2 ,2 ,Updated 1 hours ago
https://www.qatarliving.com/en/properties/rent/residential/villa_apartment/ain_khaled_1bhk_2900_with_balcony_near_umm_al_saneem_park_family_october_video/291574,AIN KHALED 1BHK 2900 WITH BALCONY NEAR UMM AL SANEEM PARK FAMILY OCTOBER VIDEO,Villa Apartment,"2,900","Ain Khaled, Doha, Qatar",1 ,1 ,Updated 4 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/2_bedroom_fully_furnished_apartment_for_rent_in_doha/292545,2-Bedroom Fully Furnished Apartment for Rent in Doha,Apartment,"4,800","Al Mansoura / Fereej Bin Dirham, Doha, Qatar",2 ,2 ,Updated 47 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/villa_apartment/1bhk_1_bedroom_hall_with_kitchen_and_bathroom_with_with_split_ac/234977,"Nuija,Hilal 1bhk ,1 bedroom,hall With Kitchen and Bathroom  with with Split Ac",Villa Apartment,"2,300","Nuaija, Doha, Qatar",1 ,1 ,Updated 22 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/1-month-freeelegant-1bhk-fully-furnished-prime-location-umm-ghwailinano-commission/2530513,1 MONTH FREE| 1BHK FULLY FURNISHED BEHIND JARIR BOOKSTORE| INCLUDING WIFI,Apartment,"3,300","Umm Ghwailina, Doha, Qatar",1 ,1 ,Updated 1 hours ago
https://www.qatarliving.com/en/properties/rent/residential/villa_apartment/1bhk_nuaija_zone_44_rent_3100_with_parking_ground_floor_video_october/292090,1BHK NUAIJA ZONE 44 RENT 3100 WITH PARKING GROUND FLOOR VIDEO OCTOBER,Villa Apartment,"3,100","Nuaija, Doha, Qatar",1 ,1 ,Updated 4 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/villa_apartment/clean_studio_available_new_thumama_near_bsquare_mall_near_metro_link/290515,CLEAN STUDIO AVAILABLE NEW THUMAMA NEAR BSQUARE MALL NEAR METRO LINK,Villa Apartment,"1,800","Al Thumama, Doha, Qatar",Studio ,1 ,Updated 51 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/ff_1bhk_all_bills_included_no_commission/262431,FF 1Bhk | All Bills Included | No Commission,Apartment,"4,000","Al Doha Al Jadeeda, Doha, Qatar",1 ,2 ,Updated 0 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/2_bed_1_bath_executive_apartment_for_rent_in_old_airport/111091,2 bed 1 bath executive apartment for rent in old airport,Apartment,"4,100","Old Airport, Doha, Qatar",2 ,1 ,Updated 0 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/1_month_free_2bhk_furnished_near_american_hospital_c_ring/165091,"1 MONTH FREE | 2BHK FURNISHED NEAR AMERICAN HOSPITAL, C-RING",Apartment,"4,000","Al Muntazah, Doha, Qatar",2 ,2 ,Updated 1 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/2bhk_for_family_al_mansura_area/275992,2BHK for Family Al Mansura Area,Apartment,"4,000","Al Mansoura / Fereej Bin Dirham, Doha, Qatar",2 ,2 ,Updated 0 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/fully_furnished_studio_available_in_new_building/276486,FULLY FURNISHED STUDIO AVAILABLE IN NEW BUILDING,Apartment,"2,900","Old Airport, Doha, Qatar",Studio ,1 ,Updated 1 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/very_nice_studio_for_rent_in_murikh_including_bill/240558,Very nice studio for rent in murikh including bill,Apartment,"2,500","Fereej Al Ameer / Muraikh, Doha, Qatar",1 ,1 ,Updated 0 minutes ago
